City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Tuatapere,NZ,67.05,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
249,Victoria,HK,71.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
252,Conchagua,SV,73.9,broken clouds,13.3078,-87.8647,Comfort Inn Real La Union Hotel
257,Vao,NC,77.36,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
261,Okato,NZ,62.69,overcast clouds,-39.2,173.8833,Goodin Country Garden
263,Talara,PE,66.38,few clouds,-4.5772,-81.2719,Hostal Oro Negro
264,Cabo San Lucas,MX,77.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
265,Plettenberg Bay,ZA,63.41,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
267,Adelaide,AU,75.42,few clouds,-34.9333,138.6,The Chancellor on Currie
268,Yenagoa,NG,77.27,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
274,Gat,IL,63.39,overcast clouds,31.61,34.7642,OlusHome
279,Bardiyah,LY,60.98,overcast clouds,31.7561,25.0865,بورتو بردية
282,Ahipara,NZ,66.25,light rain,-35.1667,173.1667,Ahipara Holiday Park
